NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
1,14,27684,27684,12827,1,5823810
2,14,27684,27684,12827,1,5312395
3,14,27684,27684,12827,1,5083443
4,14,27684,27684,12827,1,4876714
5,14,27684,27684,12827,1,5070577
6,14,27684,27684,12827,1,4794548
7,14,27684,27684,12827,1,4846012
8,14,27684,27684,12827,1,4878176
9,14,27684,27684,12827,1,4777296
10,14,27684,27684,12827,1,4772910

1,16,923416,923416,366186,0,256963163
2,16,923416,923416,366186,0,254983880
3,16,923416,923416,366186,0,254737091
4,16,923416,923416,366186,0,257042111
5,16,923416,923416,366186,0,254463108
6,16,923416,923416,366186,0,253008691
7,16,923416,923416,366186,0,252522423
8,16,923416,923416,366186,0,254231232
9,16,923416,923416,366186,0,252144053
10,16,923416,923416,366186,0,255406988

1,16,923416,923416,366186,0,266881213
2,16,923416,923416,366186,0,264441102
3,16,923416,923416,366186,0,266560154
4,16,923416,923416,366186,0,265511008
5,16,923416,923416,366186,0,263488742
6,16,923416,923416,366186,0,265414514
7,16,923416,923416,366186,0,263156864
8,16,923416,923416,366186,0,264462447
9,16,923416,923416,366186,0,265005441
10,16,923416,923416,366186,0,266502842

